origin,dest,flight_count,avg_dep_delay,avg_arr_delay,max_arr_delay,avg_distance,avg_air_time,dest_airport_name,dest_lat,dest_lon
EWR,ALB,439,23.62052505966587,14.397129186602871,328.0,143.0,31.78708133971292,Albany Intl,42.748267,-73.801692
EWR,ANC,8,12.875,-2.5,39.0,3370.0,413.125,Ted Stevens Anchorage Intl,61.174361,-149.996361
EWR,ATL,5022,15.5017378859129,13.23318293683347,796.0,746.0,111.99384741591469,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067
EWR,AUS,968,11.508863399374349,-0.47439916405433646,349.0,1504.0,211.2476489028213,Austin Bergstrom Intl,30.194528,-97.669889
EWR,AVL,265,8.616600790513834,8.804780876494023,228.0,583.0,89.79681274900399,Asheville Regional Airport,35.436194,-82.541806
EWR,BDL,443,17.72087378640777,7.048543689320389,266.0,116.0,25.466019417475728,Bradley Intl,41.938889,-72.683222
EWR,BNA,2336,17.692888888888888,12.708165997322624,364.0,748.0,114.50914770191879,Nashville Intl,36.124472,-86.678194
EWR,BOS,5327,12.545610359931441,4.783685915761388,422.0,200.0,40.312750142938825,General Edward Lawrence Logan Intl,42.364347,-71.005181
EWR,BQN,297,23.87162162162162,10.864406779661017,208.0,1585.0,196.1728813559322,,,
EWR,BTV,931,17.807215332581737,12.186230248306998,306.0,266.0,46.25733634311512,Burlington Intl,44.471861,-73.153278
EWR,BUF,973,14.360725720384204,9.696581196581196,300.0,282.0,51.15384615384615,Buffalo Niagara Intl,42.940525,-78.732167
EWR,BWI,545,18.502857142857142,15.076335877862595,255.0,169.0,37.16412213740458,Baltimore Washington Intl,39.175361,-76.668333
EWR,BZN,36,11.457142857142857,7.6,154.0,1882.0,258.37142857142857,Gallatin Field,45.777643,-111.160151
EWR,CAE,104,36.33684210526316,44.58510638297872,224.0,602.0,92.14893617021276,Columbia Metropolitan,33.938833,-81.119528
EWR,CHS,1424,17.58050221565731,16.1861504095309,331.0,628.0,95.74609084139985,Charleston Afb Intl,32.898647,-80.040528
EWR,CLE,1754,11.773672055427252,5.035838150289018,386.0,404.0,66.27687861271676,Cleveland Hopkins Intl,41.411689,-81.849794
EWR,CLT,5026,9.899632802937576,7.7819333742080525,506.0,529.0,84.97567954220315,Charlotte Douglas Intl,35.214,-80.943139
EWR,CMH,724,13.390988372093023,9.60204081632653,376.0,463.0,76.31049562682216,Port Columbus Intl,39.997972,-82.891889
EWR,CVG,2673,17.322121092204195,14.92558694787107,349.0,569.0,96.06804615996816,Cincinnati Northern Kentucky Intl,39.048836,-84.667822
EWR,DAY,1134,21.214555765595463,18.3841059602649,256.0,533.0,86.07757805108798,James M Cox Dayton Intl,39.902375,-84.219375
EWR,DCA,1719,21.25649145028499,21.31397574984046,343.0,199.0,42.60497766432674,Ronald Reagan Washington Natl,38.852083,-77.037722
EWR,DEN,2859,16.539385376192158,9.033747779751332,370.0,1605.0,224.93392539964475,Denver Intl,39.861656,-104.673178
EWR,DFW,3148,11.816118421052632,1.89814200398142,406.0,1372.0,197.06071665560717,Dallas Fort Worth Intl,32.896828,-97.037997
EWR,DSM,411,29.328244274809162,23.54871794871795,322.0,1017.0,149.54102564102564,Des Moines Intl,41.533972,-93.663083
EWR,DTW,3178,16.29318332230311,10.915586573612496,419.0,488.0,84.83416417414423,Detroit Metro Wayne Co,42.212444,-83.353389
EWR,EGE,110,8.0,-5.349056603773585,181.0,1725.5363636363636,253.58490566037736,Eagle Co Rgnl,39.642556,-106.917694
EWR,FLL,3793,13.532605802501996,7.761229946524064,375.0,1065.0,152.09545454545454,Fort Lauderdale Hollywood Intl,26.072583,-80.15275
EWR,GRR,719,20.561959654178676,19.370639534883722,340.0,605.0,96.71511627906976,Gerald R Ford Intl,42.880833,-85.522806
EWR,GSO,1120,19.38417540514776,17.6622009569378,300.0,445.0,71.85263157894737,Piedmont Triad,36.09775,-79.937306
EWR,GSP,745,20.814655172413794,18.143063583815028,312.0,594.0,93.21965317919076,Greenville-Spartanburg International,34.895556,-82.218889
EWR,HDN,15,12.285714285714286,2.142857142857143,43.0,1728.0,248.5,Yampa Valley,40.481181,-107.21766
EWR,HNL,365,13.424242424242424,3.9220055710306405,299.0,4963.0,612.075208913649,Honolulu Intl,21.318681,-157.922428
EWR,HOU,976,18.90994764397906,9.618143459915611,345.0,1411.0,205.1740506329114,William P Hobby,29.645419,-95.278889
EWR,IAD,1236,18.577593360995852,14.800332778702163,370.0,212.0,46.11730449251248,Washington Dulles Intl,38.944533,-77.455811
EWR,IAH,3973,11.826551373346897,5.406576599541167,374.0,1400.0,195.84042824369106,George Bush Intercontinental,29.984433,-95.341442
EWR,IND,1301,14.281927710843373,12.20628525382756,350.0,645.0,102.67042707493957,Indianapolis Intl,39.717331,-86.294383
EWR,JAC,23,28.7,29.894736842105264,175.0,1874.0,263.2631578947368,Jackson Hole Airport,43.607333333,-110.73775
EWR,JAX,1242,19.183417085427134,15.992417860151642,304.0,820.0,121.83656276326874,Jacksonville Intl,30.494056,-81.687861
EWR,LAS,2010,11.230075187969925,-0.7693467336683417,385.0,2227.0,299.03869346733666,Mc Carran Intl,36.080056,-115.15225
EWR,LAX,4912,11.417622950819672,2.9034312718306965,362.0,2454.0,325.75981097185127,Los Angeles Intl,33.942536,-118.408075
EWR,LGA,1,,,,17.0,,La Guardia,40.777245,-73.872608
EWR,MCI,1356,21.697347893915758,20.239811912225704,456.0,1092.0,162.6998432601881,Kansas City Intl,39.297606,-94.713905
EWR,MCO,4941,10.995919200163232,3.8279174330676478,497.0,937.0,134.62906192519927,Orlando Intl,28.429394,-81.308994
